ID,Image,Price,Brand,Link,SRC
1,wildberries_blazer1.jpg, 35 990 тг.,Mango /Пиджак - ELEONOR4,https://www.wildberries.kz/catalog/7371958/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/7370000/7371958-1.jpg
2,wildberries_blazer2.jpg, 58 250 тг.,EMKA FASHION /Пиджак,https://www.wildberries.kz/catalog/7325504/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/7320000/7325504-1.jpg
3,wildberries_blazer3.jpg, 49 990 тг.,Mango /Пиджак - LALA4,https://www.wildberries.kz/catalog/7034123/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/7030000/7034123-1.jpg
4,wildberries_blazer4.jpg, 4 490 тг.,oodji /Пиджак,https://www.wildberries.kz/catalog/5050326/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/5050000/5050326-1.jpg
5,wildberries_blazer5.jpg, 22 590 тг.,Mango /Пиджак - BORELI,https://www.wildberries.kz/catalog/7684950/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/7680000/7684950-1.jpg
6,wildberries_blazer6.jpg, 53 900 тг.,KalinaLook /Пиджаки,https://www.wildberries.kz/catalog/6330685/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/6330000/6330685-1.jpg
7,wildberries_blazer7.jpg, 24 990 тг.,Mango /Пиджак - BRAID-N,https://www.wildberries.kz/catalog/6796684/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/6790000/6796684-1.jpg
8,wildberries_blazer8.jpg, 9 490 тг.,oodji /Пиджак,https://www.wildberries.kz/catalog/5497828/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/5490000/5497828-1.jpg
9,wildberries_blazer9.jpg, 22 680 тг.,AVERI /Пиджак,https://www.wildberries.kz/catalog/5377132/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/5370000/5377132-1.jpg
10,wildberries_blazer10.jpg, 67 800 тг.,MORU /Пиджак,https://www.wildberries.kz/catalog/6905149/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/6900000/6905149-1.jpg
11,wildberries_blazer11.jpg, 29 990 тг.,Mango /Пиджак - LINET,https://www.wildberries.kz/catalog/7371938/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/7370000/7371938-1.jpg
12,wildberries_blazer12.jpg, 20 330 тг.,ZARINA /Пиджак,https://www.wildberries.kz/catalog/6142623/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/6140000/6142623-1.jpg
13,wildberries_blazer13.jpg, 9 490 тг.,oodji /Пиджак,https://www.wildberries.kz/catalog/5497827/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/5490000/5497827-1.jpg
14,wildberries_blazer14.jpg, 49 990 тг.,Mango /Пиджак - FIBRAS,https://www.wildberries.kz/catalog/6971052/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/6970000/6971052-1.jpg
15,wildberries_blazer15.jpg, 24 990 тг.,Mango /Пиджак - BRAID-N,https://www.wildberries.kz/catalog/6796682/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/6790000/6796682-1.jpg
16,wildberries_blazer16.jpg, 26 440 тг.,DANYA /Пиджак,https://www.wildberries.kz/catalog/6659027/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/6650000/6659027-1.jpg
17,wildberries_blazer17.jpg, 29 990 тг.,Mango /Пиджак - LISBOA,https://www.wildberries.kz/catalog/7259383/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/7250000/7259383-1.jpg
18,wildberries_blazer18.jpg, 31 240 тг.,Kult.1 Classic&Sport /Пиджак,https://www.wildberries.kz/catalog/6520021/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/6520000/6520021-1.jpg
19,wildberries_blazer19.jpg, 22 990 тг.,Mango /Пиджак - COFI4-N,https://www.wildberries.kz/catalog/6950843/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/6950000/6950843-1.jpg
20,wildberries_blazer20.jpg, 29 990 тг.,Mango /Пиджак - MERYL,https://www.wildberries.kz/catalog/7370808/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/7370000/7370808-1.jpg
21,wildberries_blazer21.jpg, 12 020 тг.,KOTON /Пиджак,https://www.wildberries.kz/catalog/6112959/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/6110000/6112959-1.jpg
22,wildberries_blazer22.jpg, 7 990 тг.,oodji /Пиджак,https://www.wildberries.kz/catalog/4129051/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/4120000/4129051-1.jpg
