ID,Image,Price,Brand,Link
1,wildberries_dress1.jpg,14 890 тг.,VERA NOVA /Платье,https://www.wildberries.kz/catalog/5558078/detail.aspx?targetUrl=GP
2,wildberries_dress2.jpg,12 880 тг.,Xarizmas /Платье,https://www.wildberries.kz/catalog/6076996/detail.aspx?targetUrl=GP
3,wildberries_dress3.jpg,24 360 тг.,Jan Steen /Платье,https://www.wildberries.kz/catalog/6797855/detail.aspx?targetUrl=GP
4,wildberries_dress4.jpg,21 990 тг.,Mango /Платье - RIVIERA,https://www.wildberries.kz/catalog/7259395/detail.aspx?targetUrl=GP
5,wildberries_dress5.jpg,19 320 тг.,Vittoria Vicci /Платье,https://www.wildberries.kz/catalog/6921641/detail.aspx?targetUrl=GP
6,wildberries_dress6.jpg,21 860 тг.,Vittoria Vicci /Платье,https://www.wildberries.kz/catalog/7509274/detail.aspx?targetUrl=GP
7,wildberries_dress7.jpg,16 800 тг.,Bornsoon /Платье,https://www.wildberries.kz/catalog/4850852/detail.aspx?targetUrl=GP
8,wildberries_dress8.jpg,10 910 тг.,INCITY /Платье,https://www.wildberries.kz/catalog/6201386/detail.aspx?targetUrl=GP
9,wildberries_dress9.jpg,52 790 тг.,Mango /Платье - ADRIANA-I,https://www.wildberries.kz/catalog/7515925/detail.aspx?targetUrl=GP
10,wildberries_dress10.jpg,23 310 тг.,VERA NOVA /Платье,https://www.wildberries.kz/catalog/5457616/detail.aspx?targetUrl=GP
11,wildberries_dress11.jpg,9 030 тг.,Befree /Платье,https://www.wildberries.kz/catalog/7255188/detail.aspx?targetUrl=GP
12,wildberries_dress12.jpg,17 360 тг.,VERA NOVA /Платье,https://www.wildberries.kz/catalog/5457617/detail.aspx?targetUrl=GP
13,wildberries_dress13.jpg,17 640 тг.,Rumeour /Платье,https://www.wildberries.kz/catalog/6989736/detail.aspx?targetUrl=GP
14,wildberries_dress14.jpg,24 590 тг.,Vittoria Vicci /Платье,https://www.wildberries.kz/catalog/7509273/detail.aspx?targetUrl=GP
15,wildberries_dress15.jpg,16 100 тг.,MALKOVICH /Платье,https://www.wildberries.kz/catalog/4426615/detail.aspx?targetUrl=GP
16,wildberries_dress16.jpg,63 870 тг.,KOT'S /Платье,https://www.wildberries.kz/catalog/6963107/detail.aspx?targetUrl=GP
17,wildberries_dress17.jpg,22 590 тг.,LOVE REPUBLIC /Платье,https://www.wildberries.kz/catalog/7040615/detail.aspx?targetUrl=GP
18,wildberries_dress18.jpg,13 430 тг.,MODUS /Платье,https://www.wildberries.kz/catalog/5438790/detail.aspx?targetUrl=GP
19,wildberries_dress19.jpg,13 420 тг.,Культ платья BRACEGIRDLE /Платье,https://www.wildberries.kz/catalog/6321381/detail.aspx?targetUrl=GP
20,wildberries_dress20.jpg,16 130 тг.,1001 DRESS /Платье,https://www.wildberries.kz/catalog/6768196/detail.aspx?targetUrl=GP
21,wildberries_dress21.jpg,7 340 тг.,Befree /Платье,https://www.wildberries.kz/catalog/7513763/detail.aspx?targetUrl=GP
22,wildberries_dress22.jpg,17 150 тг.,MISSMEXX /Платье,https://www.wildberries.kz/catalog/6310166/detail.aspx?targetUrl=GP
23,wildberries_dress23.jpg,11 720 тг.,Barcelonica /Платье,https://www.wildberries.kz/catalog/2405711/detail.aspx?targetUrl=GP
24,wildberries_dress24.jpg,15 810 тг.,Befree /Платье,https://www.wildberries.kz/catalog/7513757/detail.aspx?targetUrl=GP
25,wildberries_dress25.jpg,12 990 тг.,Befree /Платье,https://www.wildberries.kz/catalog/7281883/detail.aspx?targetUrl=GP
26,wildberries_dress26.jpg,43 400 тг.,Stimage /Платье DUSK,https://www.wildberries.kz/catalog/6902586/detail.aspx?targetUrl=GP
27,wildberries_dress27.jpg,15 830 тг.,Mango /Платье - SERENA,https://www.wildberries.kz/catalog/6950917/detail.aspx?targetUrl=GP
28,wildberries_dress28.jpg,15 830 тг.,Mango /Платье - FAMA,https://www.wildberries.kz/catalog/6775946/detail.aspx?targetUrl=GP
29,wildberries_dress29.jpg,21 990 тг.,Mango /Платье - MARGARIT,https://www.wildberries.kz/catalog/7414730/detail.aspx?targetUrl=GP
30,wildberries_dress30.jpg,11 870 тг.,Mango /Платье - VESCARO,https://www.wildberries.kz/catalog/6984192/detail.aspx?targetUrl=GP
31,wildberries_dress31.jpg,29 330 тг.,Bordo /Платье,https://www.wildberries.kz/catalog/7631454/detail.aspx?targetUrl=GP
32,wildberries_dress32.jpg,21 330 тг.,VERA NOVA /Платье,https://www.wildberries.kz/catalog/6079699/detail.aspx?targetUrl=GP
33,wildberries_dress33.jpg,14 280 тг.,LOVE REPUBLIC /Платье,https://www.wildberries.kz/catalog/6702261/detail.aspx?targetUrl=GP
34,wildberries_dress34.jpg,51 210 тг.,LUSIO /Платье,https://www.wildberries.kz/catalog/6972373/detail.aspx?targetUrl=GP
35,wildberries_dress35.jpg,8 520 тг.,&Berries /Платье,https://www.wildberries.kz/catalog/5477505/detail.aspx?targetUrl=GP
