ID,Image,Price,Brand,Link,SRC
1,wildberries_hoody1.jpg, 4 490 тг.,oodji /Толстовка,https://www.wildberries.kz/catalog/4575503/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/4570000/4575503-1.jpg
2,wildberries_hoody2.jpg, 3 400 тг.,ТВОЕ /Толстовка,https://www.wildberries.kz/catalog/6257352/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/6250000/6257352-1.jpg
3,wildberries_hoody3.jpg, 3 960 тг.,ТВОЕ /Толстовка,https://www.wildberries.kz/catalog/6461243/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/6460000/6461243-1.jpg
4,wildberries_hoody4.jpg, 4 530 тг.,ТВОЕ /Толстовки,https://www.wildberries.kz/catalog/6462220/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/6460000/6462220-1.jpg
5,wildberries_hoody5.jpg, 3 990 тг.,oodji /Толстовка,https://www.wildberries.kz/catalog/5444108/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/5440000/5444108-1.jpg
6,wildberries_hoody6.jpg, 11 180 тг.,CLEO /Толстовка,https://www.wildberries.kz/catalog/4484025/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/4480000/4484025-1.jpg
7,wildberries_hoody7.jpg, 12 200 тг.,Дефиле /Толстовка,https://www.wildberries.kz/catalog/6806056/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/6800000/6806056-1.jpg
8,wildberries_hoody8.jpg, 14 690 тг.,MF /Толстовка,https://www.wildberries.kz/catalog/5595037/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/5590000/5595037-1.jpg
9,wildberries_hoody9.jpg, 7 990 тг.,"oodji /Толстовка, 2 шт.",https://www.wildberries.kz/catalog/4626497/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/4620000/4626497-1.jpg
10,wildberries_hoody10.jpg, 14 690 тг.,MF /Толстовка,https://www.wildberries.kz/catalog/4635944/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/4630000/4635944-1.jpg
11,wildberries_hoody11.jpg, 28 190 тг.,Adidas /Толстовка W MH HOODIE,https://www.wildberries.kz/catalog/7004710/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/7000000/7004710-1.jpg
12,wildberries_hoody12.jpg, 67 150 тг.,Lacoste /Толстовка,https://www.wildberries.kz/catalog/6515566/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/6510000/6515566-1.jpg
13,wildberries_hoody13.jpg, 17 160 тг.,SNOW HEADQUARTER /Парка-windstopper,https://www.wildberries.kz/catalog/5249587/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/5240000/5249587-1.jpg
14,wildberries_hoody14.jpg, 5 530 тг.,O'Stin /Толстовка,https://www.wildberries.kz/catalog/7536883/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/7530000/7536883-1.jpg
15,wildberries_hoody15.jpg, 38 320 тг.,Liyana /Толстовка,https://www.wildberries.kz/catalog/5447831/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/5440000/5447831-1.jpg
16,wildberries_hoody16.jpg, 3 690 тг.,oodji /Толстовка,https://www.wildberries.kz/catalog/5444105/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/5440000/5444105-1.jpg
