ID,Image,Price,Brand,Link,SRC
1,wildberries_short1.jpg, 7 490 тг.,oodji /Шорты,https://www.wildberries.kz/catalog/3686550/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/3680000/3686550-1.jpg
2,wildberries_short2.jpg, 2 260 тг.,ТВОЕ /Шорты,https://www.wildberries.kz/catalog/6102858/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/6100000/6102858-1.jpg
3,wildberries_short3.jpg, 9 030 тг.,Befree /Шорты,https://www.wildberries.kz/catalog/7567345/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/7560000/7567345-1.jpg
4,wildberries_short4.jpg, 10 250 тг.,Katomi /Шорты,https://www.wildberries.kz/catalog/4669310/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/4660000/4669310-1.jpg
5,wildberries_short5.jpg, 6 210 тг.,Extra /Шорты,https://www.wildberries.kz/catalog/6011594/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/6010000/6011594-1.jpg
6,wildberries_short6.jpg, 12 660 тг.,Vittoria Vicci /Шорты,https://www.wildberries.kz/catalog/7061360/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/7060000/7061360-1.jpg
7,wildberries_short7.jpg, 8 490 тг.,oodji /Шорты,https://www.wildberries.kz/catalog/5645686/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/5640000/5645686-1.jpg
8,wildberries_short8.jpg, 9 140 тг.,Abby /Шорты,https://www.wildberries.kz/catalog/6628709/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/6620000/6628709-1.jpg
9,wildberries_short9.jpg, 3 970 тг.,OPIUM /Шорты,https://www.wildberries.kz/catalog/2160702/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/2160000/2160702-1.jpg
10,wildberries_short10.jpg, 16 090 тг.,Concept Club /Шорты,https://www.wildberries.kz/catalog/7485474/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/7480000/7485474-1.jpg
11,wildberries_short11.jpg, 6 490 тг.,oodji /Шорты,https://www.wildberries.kz/catalog/7194463/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/7190000/7194463-1.jpg
12,wildberries_short12.jpg, 5 990 тг.,"oodji /Шорты, 5 шт.",https://www.wildberries.kz/catalog/4554739/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/4550000/4554739-1.jpg
13,wildberries_short13.jpg, 12 990 тг.,Mango /Шорты - ICONIC,https://www.wildberries.kz/catalog/7515930/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/7510000/7515930-1.jpg
14,wildberries_short14.jpg, 1 850 тг.,ТВОЕ /Шорты,https://www.wildberries.kz/catalog/6102836/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/6100000/6102836-1.jpg
15,wildberries_short15.jpg, 16 940 тг.,LOVE REPUBLIC /Шорты,https://www.wildberries.kz/catalog/7630669/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/7630000/7630669-1.jpg
16,wildberries_short16.jpg, 4 350 тг.,Mark Formelle /Шорты,https://www.wildberries.kz/catalog/7306784/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/7300000/7306784-1.jpg
17,wildberries_short17.jpg, 20 330 тг.,LOVE REPUBLIC /Шорты,https://www.wildberries.kz/catalog/7630672/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/7630000/7630672-1.jpg
18,wildberries_short18.jpg, 22 540 тг.,ROXY /Шорты,https://www.wildberries.kz/catalog/7216529/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/7210000/7216529-1.jpg
19,wildberries_short19.jpg, 3 390 тг.,LENTANA LINE /Шорты,https://www.wildberries.kz/catalog/4232403/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/4230000/4232403-1.jpg
20,wildberries_short20.jpg, 14 200 тг.,OPIUM /Шорты,https://www.wildberries.kz/catalog/3986867/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/3980000/3986867-1.jpg
21,wildberries_short21.jpg, 6 610 тг.,Fronzoli /Шорты,https://www.wildberries.kz/catalog/7393360/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/7390000/7393360-1.jpg
22,wildberries_short22.jpg, 8 490 тг.,oodji /Шорты,https://www.wildberries.kz/catalog/3567640/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/3560000/3567640-1.jpg
