ID,Image,Price,Brand,Link,SRC
1,wildberries_T_shirt1.jpg, 10 740 тг.,Levi's® /Футболка,https://www.wildberries.kz/catalog/4319488/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/4310000/4319488-1.jpg
2,wildberries_T_shirt2.jpg, 10 740 тг.,Levi's® /Футболка,https://www.wildberries.kz/catalog/4319486/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/4310000/4319486-1.jpg
3,wildberries_T_shirt3.jpg, 10 740 тг.,Levi's® /Футболка,https://www.wildberries.kz/catalog/2612353/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/2610000/2612353-1.jpg
4,wildberries_T_shirt4.jpg, 13 550 тг.,OPIUM /Футболки,https://www.wildberries.kz/catalog/5445640/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/5440000/5445640-1.jpg
5,wildberries_T_shirt5.jpg, 1 690 тг.,ТВОЕ /Футболка,https://www.wildberries.kz/catalog/6079046/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/6070000/6079046-1.jpg
6,wildberries_T_shirt6.jpg, 20 330 тг.,LOVE REPUBLIC /Топ,https://www.wildberries.kz/catalog/7630665/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/7630000/7630665-1.jpg
7,wildberries_T_shirt7.jpg, 10 740 тг.,Levi's® /Футболка,https://www.wildberries.kz/catalog/4319487/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/4310000/4319487-1.jpg
8,wildberries_T_shirt8.jpg, 25 370 тг.,TOMMY JEANS /Футболка,https://www.wildberries.kz/catalog/7488579/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/7480000/7488579-1.jpg
9,wildberries_T_shirt9.jpg, 3 890 тг.,Envy Lab /Футболка,https://www.wildberries.kz/catalog/4221061/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/4220000/4221061-1.jpg
10,wildberries_T_shirt10.jpg, 3 990 тг.,Mango /Футболка - MNGLOGO,https://www.wildberries.kz/catalog/6950922/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/6950000/6950922-1.jpg
11,wildberries_T_shirt11.jpg, 4 140 тг.,Алтекс. /Футболка,https://www.wildberries.kz/catalog/5990261/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/5990000/5990261-1.jpg
12,wildberries_T_shirt12.jpg, 3 970 тг.,Stella /Футболка Кролик,https://www.wildberries.kz/catalog/3803856/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/3800000/3803856-1.jpg
13,wildberries_T_shirt13.jpg, 14 680 тг.,LOVE REPUBLIC /Топ,https://www.wildberries.kz/catalog/7603119/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/7600000/7603119-1.jpg
14,wildberries_T_shirt14.jpg, 3 970 тг.,Stella /Футболка Кролик,https://www.wildberries.kz/catalog/3803857/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/3800000/3803857-1.jpg
15,wildberries_T_shirt15.jpg, 11 950 тг.,S.OLIVER /Топ,https://www.wildberries.kz/catalog/5915824/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/5910000/5915824-1.jpg
16,wildberries_T_shirt16.jpg, 12 990 тг.,Mango /Топ - CANONGE,https://www.wildberries.kz/catalog/7349663/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/7340000/7349663-1.jpg
