ID,Image,Price,Brand,Link,SRC
1,wildberries_trousers1.jpg, 11 340 тг.,LOVE REPUBLIC /Брюки,https://www.wildberries.kz/catalog/7040603/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/7040000/7040603-1.jpg
2,wildberries_trousers2.jpg, 10 160 тг.,ZARINA /Брюки,https://www.wildberries.kz/catalog/6836094/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/6830000/6836094-1.jpg
3,wildberries_trousers3.jpg, 15 240 тг.,ZARINA /Брюки,https://www.wildberries.kz/catalog/6715957/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/6710000/6715957-1.jpg
4,wildberries_trousers4.jpg, 3 810 тг.,ТВОЕ /Брюки женские,https://www.wildberries.kz/catalog/6229605/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/6220000/6229605-1.jpg
5,wildberries_trousers5.jpg, 13 210 тг.,ZARINA /Брюки,https://www.wildberries.kz/catalog/5924842/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/5920000/5924842-1.jpg
6,wildberries_trousers6.jpg, 13 210 тг.,ZARINA /Брюки,https://www.wildberries.kz/catalog/6230551/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/6230000/6230551-1.jpg
7,wildberries_trousers7.jpg, 27 540 тг.,MANIFEST /Брюки oversize,https://www.wildberries.kz/catalog/7276543/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/7270000/7276543-1.jpg
8,wildberries_trousers8.jpg, 7 900 тг.,O'Stin /Брюки,https://www.wildberries.kz/catalog/7542136/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/7540000/7542136-1.jpg
9,wildberries_trousers9.jpg, 15 240 тг.,ZARINA /Брюки,https://www.wildberries.kz/catalog/6229822/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/6220000/6229822-1.jpg
10,wildberries_trousers10.jpg, 9 490 тг.,"oodji /Брюки, 3 шт.",https://www.wildberries.kz/catalog/4521930/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/4520000/4521930-1.jpg
11,wildberries_trousers11.jpg, 21 440 тг.,GENERAL IMPRESSIONS /Брюки,https://www.wildberries.kz/catalog/6650638/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/6650000/6650638-1.jpg
12,wildberries_trousers12.jpg, 14 990 тг.,Mango /Брюки,https://www.wildberries.kz/catalog/6970393/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/6970000/6970393-1.jpg
13,wildberries_trousers13.jpg, 15 240 тг.,ZARINA /Брюки,https://www.wildberries.kz/catalog/6172029/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/6170000/6172029-1.jpg
14,wildberries_trousers14.jpg, 15 240 тг.,ZARINA /Брюки,https://www.wildberries.kz/catalog/6230553/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/6230000/6230553-1.jpg
15,wildberries_trousers15.jpg, 2 840 тг.,ТВОЕ /Брюки,https://www.wildberries.kz/catalog/6102122/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/6100000/6102122-1.jpg
16,wildberries_trousers16.jpg, 22 080 тг.,Baon /Брюки,https://www.wildberries.kz/catalog/6884979/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/6880000/6884979-1.jpg
