ID,Image,Price,Brand,Link,SRC
1,wildberries_male_blazer1.jpg, 13 990 тг.,oodji /Пиджак,https://www.wildberries.kz/catalog/5405034/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/5400000/5405034-1.jpg
2,wildberries_male_blazer2.jpg, 15 990 тг.,oodji /Пиджак,https://www.wildberries.kz/catalog/3633218/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/3630000/3633218-1.jpg
3,wildberries_male_blazer3.jpg, 60 970 тг.,BAZIONI /Пиджак,https://www.wildberries.kz/catalog/4853847/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/4850000/4853847-1.jpg
4,wildberries_male_blazer4.jpg, 73 240 тг.,S.OLIVER /Пиджак,https://www.wildberries.kz/catalog/5406138/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/5400000/5406138-1.jpg
5,wildberries_male_blazer5.jpg, 123 130 тг.,S.OLIVER /Пиджак,https://www.wildberries.kz/catalog/2732598/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/2730000/2732598-1.jpg
6,wildberries_male_blazer6.jpg, 65 110 тг.,S.OLIVER /Пиджак,https://www.wildberries.kz/catalog/4449635/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/4440000/4449635-1.jpg
7,wildberries_male_blazer7.jpg, 18 490 тг.,oodji /Пиджак,https://www.wildberries.kz/catalog/5104194/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/5100000/5104194-1.jpg
8,wildberries_male_blazer8.jpg, 18 990 тг.,oodji /Пиджак,https://www.wildberries.kz/catalog/5516153/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/5510000/5516153-1.jpg
9,wildberries_male_blazer9.jpg, 73 240 тг.,S.OLIVER /Пиджак,https://www.wildberries.kz/catalog/5151281/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/5150000/5151281-1.jpg
10,wildberries_male_blazer10.jpg, 43 350 тг.,Stilpoint /Пиджак CASUAL,https://www.wildberries.kz/catalog/7636426/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/7630000/7636426-1.jpg
11,wildberries_male_blazer11.jpg, 66 050 тг.,BAZIONI /Пиджак,https://www.wildberries.kz/catalog/4066824/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/4060000/4066824-1.jpg
12,wildberries_male_blazer12.jpg, 43 150 тг.,MONDIGO /Пиджак,https://www.wildberries.kz/catalog/3011489/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/3010000/3011489-1.jpg
13,wildberries_male_blazer13.jpg, 31 440 тг.,Marcello Gotti /Пиджак,https://www.wildberries.kz/catalog/4934458/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/4930000/4934458-1.jpg
14,wildberries_male_blazer14.jpg, 42 050 тг.,PELEGRINNI /Пиджаки,https://www.wildberries.kz/catalog/6566034/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/6560000/6566034-1.jpg
15,wildberries_male_blazer15.jpg, 44 490 тг.,BAWER /Пиджак,https://www.wildberries.kz/catalog/6950581/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/6950000/6950581-1.jpg
16,wildberries_male_blazer16.jpg, 15 490 тг.,oodji /Пиджак,https://www.wildberries.kz/catalog/5259161/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/5250000/5259161-1.jpg
