ID,Image,Price,Brand,Link,SRC
1,wildberries_male_hoody1.jpg, 3 380 тг.,ТВОЕ /Худи,https://www.wildberries.kz/catalog/6427649/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/6420000/6427649-1.jpg
2,wildberries_male_hoody2.jpg, 4 510 тг.,ТВОЕ /Худи,https://www.wildberries.kz/catalog/7159725/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/7150000/7159725-1.jpg
3,wildberries_male_hoody3.jpg, 9 250 тг.,Geesoo /Худи Камуфляж,https://www.wildberries.kz/catalog/6977981/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/6970000/6977981-1.jpg
4,wildberries_male_hoody4.jpg, 14 090 тг.,Envy Lab /Худи,https://www.wildberries.kz/catalog/5007036/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/5000000/5007036-1.jpg
5,wildberries_male_hoody5.jpg, 6 130 тг.,Корона /Худи Корона,https://www.wildberries.kz/catalog/7168177/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/7160000/7168177-1.jpg
6,wildberries_male_hoody6.jpg, 5 680 тг.,O'Stin /Худи,https://www.wildberries.kz/catalog/7196144/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/7190000/7196144-1.jpg
7,wildberries_male_hoody7.jpg, 3 190 тг.,oodji /Худи,https://www.wildberries.kz/catalog/4843070/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/4840000/4843070-1.jpg
8,wildberries_male_hoody8.jpg, 16 940 тг.,U.S. Polo Assn. /Худи,https://www.wildberries.kz/catalog/6837874/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/6830000/6837874-1.jpg
9,wildberries_male_hoody9.jpg, 51 270 тг.,Calvin Klein /Худи,https://www.wildberries.kz/catalog/6406704/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/6400000/6406704-1.jpg
10,wildberries_male_hoody10.jpg, 10 640 тг.,Envy Lab /Худи,https://www.wildberries.kz/catalog/5249966/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/5240000/5249966-1.jpg
11,wildberries_male_hoody11.jpg, 33 690 тг.,DIADORA /Худи,https://www.wildberries.kz/catalog/6661656/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/6660000/6661656-1.jpg
12,wildberries_male_hoody12.jpg, 10 640 тг.,Envy Lab /Худи,https://www.wildberries.kz/catalog/3929893/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/3920000/3929893-1.jpg
13,wildberries_male_hoody13.jpg, 22 640 тг.,ASICS /Худи HEXAGON PO HOODIE,https://www.wildberries.kz/catalog/5383690/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/5380000/5383690-1.jpg
14,wildberries_male_hoody14.jpg, 10 680 тг.,Envy Lab /Худи,https://www.wildberries.kz/catalog/4653778/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/4650000/4653778-1.jpg
15,wildberries_male_hoody15.jpg, 9 470 тг.,Stella /Худи,https://www.wildberries.kz/catalog/6571038/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/6570000/6571038-1.jpg
16,wildberries_male_hoody16.jpg, 12 610 тг.,Print Bar /Худи Сибирский лес,https://www.wildberries.kz/catalog/6046896/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/6040000/6046896-1.jpg
17,wildberries_male_hoody17.jpg, 28 590 тг.,Desigual /Худи,https://www.wildberries.kz/catalog/6436077/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/6430000/6436077-1.jpg
18,wildberries_male_hoody18.jpg, 4 990 тг.,oodji /Худи,https://www.wildberries.kz/catalog/4577347/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/4570000/4577347-1.jpg
19,wildberries_male_hoody19.jpg, 14 550 тг.,Jack&Jones /Худи,https://www.wildberries.kz/catalog/5329561/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/5320000/5329561-1.jpg
20,wildberries_male_hoody20.jpg, 5 800 тг.,MisterBanana /Худи,https://www.wildberries.kz/catalog/6192461/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/6190000/6192461-1.jpg
21,wildberries_male_hoody21.jpg, 33 840 тг.,Adidas /Худи STCKERBOMB HOOD,https://www.wildberries.kz/catalog/7004793/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/7000000/7004793-1.jpg
22,wildberries_male_hoody22.jpg, 9 840 тг.,Envy Lab /Худи,https://www.wildberries.kz/catalog/4170029/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/4170000/4170029-1.jpg
23,wildberries_male_hoody23.jpg, 24 300 тг.,FRANKLIN AND MARSHALL /Худи,https://www.wildberries.kz/catalog/4831525/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/4830000/4831525-1.jpg
24,wildberries_male_hoody24.jpg, 10 680 тг.,Envy Lab /Худи,https://www.wildberries.kz/catalog/5032088/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/5030000/5032088-1.jpg
25,wildberries_male_hoody25.jpg, 9 840 тг.,Envy Lab /Худи,https://www.wildberries.kz/catalog/3929898/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/3920000/3929898-1.jpg
26,wildberries_male_hoody26.jpg, 15 770 тг.,PUMA /Худи,https://www.wildberries.kz/catalog/5125860/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/5120000/5125860-1.jpg
27,wildberries_male_hoody27.jpg, 2 820 тг.,ТВОЕ /Худи,https://www.wildberries.kz/catalog/6427632/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/6420000/6427632-1.jpg
28,wildberries_male_hoody28.jpg, 6 990 тг.,oodji /Худи,https://www.wildberries.kz/catalog/6736009/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/6730000/6736009-1.jpg
29,wildberries_male_hoody29.jpg, 9 840 тг.,Envy Lab /Худи,https://www.wildberries.kz/catalog/3929900/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/3920000/3929900-1.jpg
30,wildberries_male_hoody30.jpg, 12 360 тг.,Jack&Jones /Худи,https://www.wildberries.kz/catalog/5147421/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/5140000/5147421-1.jpg
31,wildberries_male_hoody31.jpg, 9 840 тг.,Envy Lab /Худи,https://www.wildberries.kz/catalog/3929897/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/3920000/3929897-1.jpg
32,wildberries_male_hoody32.jpg, 31 020 тг.,VANS /Худи,https://www.wildberries.kz/catalog/7205182/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/7200000/7205182-1.jpg
33,wildberries_male_hoody33.jpg, 42 380 тг.,Alpha Industries /Худи Printed Tape Hoody,https://www.wildberries.kz/catalog/7290218/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/7290000/7290218-1.jpg
34,wildberries_male_hoody34.jpg, 13 800 тг.,Lonsdale /Худи,https://www.wildberries.kz/catalog/3234472/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/3230000/3234472-1.jpg
35,wildberries_male_hoody35.jpg, 106 780 тг.,Love Moschino /Худи,https://www.wildberries.kz/catalog/5998074/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/5990000/5998074-1.jpg
36,wildberries_male_hoody36.jpg, 20 170 тг.,OMBRE /Худи,https://www.wildberries.kz/catalog/4360271/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/4360000/4360271-1.jpg
37,wildberries_male_hoody37.jpg, 22 540 тг.,ASICS /Худи,https://www.wildberries.kz/catalog/7516970/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/7510000/7516970-1.jpg
38,wildberries_male_hoody38.jpg, 15 130 тг.,TOM TAILOR /Худи,https://www.wildberries.kz/catalog/6081621/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/6080000/6081621-1.jpg
39,wildberries_male_hoody39.jpg, 39 440 тг.,Calvin Klein Performance /Худи,https://www.wildberries.kz/catalog/6898067/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/6890000/6898067-1.jpg
40,wildberries_male_hoody40.jpg, 22 860 тг.,PEPE JEANS LONDON /Худи,https://www.wildberries.kz/catalog/4782477/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/4780000/4782477-1.jpg
41,wildberries_male_hoody41.jpg, 22 860 тг.,PEPE JEANS LONDON /Худи,https://www.wildberries.kz/catalog/4782496/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/4780000/4782496-1.jpg
42,wildberries_male_hoody42.jpg, 36 860 тг.,MERCEDES-BENZ /Худи,https://www.wildberries.kz/catalog/4674415/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/4670000/4674415-1.jpg
43,wildberries_male_hoody43.jpg, 12 140 тг.,TOM TAILOR /Худи,https://www.wildberries.kz/catalog/4334669/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/4330000/4334669-1.jpg
44,wildberries_male_hoody44.jpg, 13 550 тг.,TOM TAILOR /Худи,https://www.wildberries.kz/catalog/6146779/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/6140000/6146779-1.jpg
