ID,Image,Price,Brand,Link,SRC
1,wildberries_male_shirt1.jpg, 14 090 тг.,Envy Lab /Рубашка,https://www.wildberries.kz/catalog/4810662/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/4810000/4810662-1.jpg
2,wildberries_male_shirt2.jpg, 13 900 тг.,Envy Lab /Рубашка,https://www.wildberries.kz/catalog/6233106/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/6230000/6233106-1.jpg
3,wildberries_male_shirt3.jpg, 13 900 тг.,Envy Lab /Рубашка,https://www.wildberries.kz/catalog/6230570/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/6230000/6230570-1.jpg
4,wildberries_male_shirt4.jpg, 14 090 тг.,Envy Lab /Рубашка,https://www.wildberries.kz/catalog/5047597/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/5040000/5047597-1.jpg
5,wildberries_male_shirt5.jpg, 14 030 тг.,Envy Lab /Рубашка,https://www.wildberries.kz/catalog/4620492/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/4620000/4620492-1.jpg
6,wildberries_male_shirt6.jpg, 14 130 тг.,S.OLIVER /Рубашка,https://www.wildberries.kz/catalog/5915818/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/5910000/5915818-1.jpg
7,wildberries_male_shirt7.jpg, 14 090 тг.,Envy Lab /Рубашка,https://www.wildberries.kz/catalog/4973635/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/4970000/4973635-1.jpg
8,wildberries_male_shirt8.jpg, 17 770 тг.,BAWER /Рубашка,https://www.wildberries.kz/catalog/6096605/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/6090000/6096605-1.jpg
9,wildberries_male_shirt9.jpg, 6 990 тг.,oodji /Рубашка,https://www.wildberries.kz/catalog/3997193/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/3990000/3997193-1.jpg
10,wildberries_male_shirt10.jpg, 14 090 тг.,Envy Lab /Рубашка,https://www.wildberries.kz/catalog/4810660/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/4810000/4810660-1.jpg
11,wildberries_male_shirt11.jpg, 25 430 тг.,Levi's® /Рубашка SUNSET,https://www.wildberries.kz/catalog/4373256/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/4370000/4373256-1.jpg
12,wildberries_male_shirt12.jpg, 17 770 тг.,BAWER /Рубашка,https://www.wildberries.kz/catalog/6096607/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/6090000/6096607-1.jpg
13,wildberries_male_shirt13.jpg, 23 230 тг.,Wrangler /Рубашка LS 1PKT BUTTON DOWN MID INDIGO,https://www.wildberries.kz/catalog/5042381/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/5040000/5042381-1.jpg
14,wildberries_male_shirt14.jpg, 17 770 тг.,BAWER /Рубашка,https://www.wildberries.kz/catalog/6096606/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/6090000/6096606-1.jpg
15,wildberries_male_shirt15.jpg, 8 990 тг.,oodji /Рубашка,https://www.wildberries.kz/catalog/7268744/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/7260000/7268744-1.jpg
16,wildberries_male_shirt16.jpg, 13 440 тг.,Envy Lab /Рубашка,https://www.wildberries.kz/catalog/4273042/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/4270000/4273042-1.jpg
17,wildberries_male_shirt17.jpg, 14 090 тг.,BAWER /Рубашка,https://www.wildberries.kz/catalog/5878422/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/5870000/5878422-1.jpg
18,wildberries_male_shirt18.jpg, 13 900 тг.,Envy Lab /Рубашка,https://www.wildberries.kz/catalog/6061716/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/6060000/6061716-1.jpg
19,wildberries_male_shirt19.jpg, 4 480 тг.,O'Stin /Рубашка,https://www.wildberries.kz/catalog/7196097/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/7190000/7196097-1.jpg
20,wildberries_male_shirt20.jpg, 5 910 тг.,BIRIZ /Рубашка,https://www.wildberries.kz/catalog/6428961/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/6420000/6428961-1.jpg
21,wildberries_male_shirt21.jpg, 24 990 тг.,MANGO MAN /Рубашка - ENATE,https://www.wildberries.kz/catalog/7168367/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/7160000/7168367-1.jpg
22,wildberries_male_shirt22.jpg, 17 770 тг.,BAWER /Рубашка приталенная,https://www.wildberries.kz/catalog/6096602/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/6090000/6096602-1.jpg
23,wildberries_male_shirt23.jpg, 8 990 тг.,oodji /Рубашка,https://www.wildberries.kz/catalog/6522419/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/6520000/6522419-1.jpg
24,wildberries_male_shirt24.jpg, 14 090 тг.,Envy Lab /Рубашка,https://www.wildberries.kz/catalog/4746392/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/4740000/4746392-1.jpg
25,wildberries_male_shirt25.jpg, 19 200 тг.,ARMARON /Рубашка,https://www.wildberries.kz/catalog/4357956/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/4350000/4357956-1.jpg
26,wildberries_male_shirt26.jpg, 14 130 тг.,S.OLIVER /Рубашка,https://www.wildberries.kz/catalog/5915821/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/5910000/5915821-1.jpg
27,wildberries_male_shirt27.jpg, 3 290 тг.,oodji /Рубашка,https://www.wildberries.kz/catalog/5564637/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/5560000/5564637-1.jpg
