ID,Image,Price,Brand,Link,SRC
1,wildberries_male_short1.jpg, 12 290 тг.,Colin's /Шорты,https://www.wildberries.kz/catalog/5448005/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/5440000/5448005-1.jpg
2,wildberries_male_short2.jpg, 8 990 тг.,oodji /Шорты,https://www.wildberries.kz/catalog/4003113/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/4000000/4003113-1.jpg
3,wildberries_male_short3.jpg, 3 950 тг.,ТВОЕ /Шорты,https://www.wildberries.kz/catalog/7157179/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/7150000/7157179-1.jpg
4,wildberries_male_short4.jpg, 3 950 тг.,ТВОЕ /Шорты,https://www.wildberries.kz/catalog/7220673/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/7220000/7220673-1.jpg
5,wildberries_male_short5.jpg, 10 490 тг.,oodji /Шорты,https://www.wildberries.kz/catalog/5824087/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/5820000/5824087-1.jpg
6,wildberries_male_short6.jpg, 9 990 тг.,oodji /Шорты,https://www.wildberries.kz/catalog/6215484/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/6210000/6215484-1.jpg
7,wildberries_male_short7.jpg, 8 980 тг.,ARSTA /Шорты однотонные с карманами на молниях,https://www.wildberries.kz/catalog/5463121/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/5460000/5463121-1.jpg
8,wildberries_male_short8.jpg, 9 050 тг.,Lonsdale /Шорты,https://www.wildberries.kz/catalog/5520065/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/5520000/5520065-1.jpg
9,wildberries_male_short9.jpg, 8 470 тг.,Colin's /Шорты,https://www.wildberries.kz/catalog/6115095/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/6110000/6115095-1.jpg
10,wildberries_male_short10.jpg, 3 950 тг.,ТВОЕ /Шорты,https://www.wildberries.kz/catalog/7157180/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/7150000/7157180-1.jpg
11,wildberries_male_short11.jpg, 19 720 тг.,"Extreme Hobby TM /Шорты vale tudo MOKO, мужские",https://www.wildberries.kz/catalog/4649161/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/4640000/4649161-1.jpg
12,wildberries_male_short12.jpg, 3 150 тг.,O'Stin /Шорты,https://www.wildberries.kz/catalog/7533981/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/7530000/7533981-1.jpg
13,wildberries_male_short13.jpg, 8 490 тг.,oodji /Шорты,https://www.wildberries.kz/catalog/3985614/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/3980000/3985614-1.jpg
14,wildberries_male_short14.jpg, 3 950 тг.,ТВОЕ /Шорты,https://www.wildberries.kz/catalog/7157178/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/7150000/7157178-1.jpg
15,wildberries_male_short15.jpg, 6 500 тг.,A-sport /Шорты,https://www.wildberries.kz/catalog/7366399/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/7360000/7366399-1.jpg
16,wildberries_male_short16.jpg, 9 490 тг.,oodji /Шорты,https://www.wildberries.kz/catalog/4577354/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/4570000/4577354-1.jpg
17,wildberries_male_short17.jpg, 7 490 тг.,oodji /Шорты,https://www.wildberries.kz/catalog/4577352/detail.aspx?targetUrl=GP,//img2.wbstatic.net/c246x328/new/4570000/4577352-1.jpg
18,wildberries_male_short18.jpg, 31 590 тг.,Tommy Hilfiger /Шорты,https://www.wildberries.kz/catalog/5366967/detail.aspx?targetUrl=GP,//img1.wbstatic.net/c246x328/new/5360000/5366967-1.jpg
